Date,AGG,EEM,EFA,GLD,IWM,MDY,PCRIX,SPY,TLT,VNQ,VWEHX
2016-02-29,0.8248786638032182,0.7967248993183731,0.7325094889396397,0.590771628416691,0.8846121677979042,0.9074522107556345,0.41946800645329196,0.9021119279605753,0.5442804291755361,0.6012045508323095,0.6926763506103419
2016-03-31,0.8550335861564129,0.816408211092413,0.8457130099371918,0.5985623264485117,0.9145458183451912,0.8226647065413234,0.7197250080104245,0.9277293266873086,0.5674174262316918,0.5657599084837562,0.6662541524020771
2016-04-30,0.8333480968617238,0.4063983345886564,0.38945353580290987,0.6955046152694097,0.7666653880115735,0.7646297342954609,0.7707426997437925,0.6106297581422986,0.614909006984848,0.8892639497985313,0.7570913219961437
2016-05-31,0.8722956374923823,0.6109383222997048,0.5837356252009545,0.7464754848649415,0.7521875245290245,0.7950973795257813,0.6882348480750073,0.814906872316999,0.9139252190232984,0.8876809174554376,0.6996003820076472
2016-06-30,0.9509291493179707,0.6172007331899783,0.6030325030200382,0.5944664350326071,0.3426438512036215,0.8025348302564337,0.8795625213997459,0.8260088365328545,0.668697690429065,0.6970545917117875,0.7723671841752643
2016-07-31,0.964498186930253,0.6697038324153517,0.5138389047438906,0.36523646990307257,0.7912982384901126,0.8935726627031251,0.7426634353634386,0.8625270584412578,0.7955868489767561,0.7179843666188123,0.9125911132749838
2016-08-31,0.9173748207025846,0.8445573804941197,0.8264049217550198,0.9173838497545949,0.8605302567921057,0.9263401800121334,0.6733933828540305,0.8978103202635672,0.861449037021871,0.8910080877252898,0.8142610876410593
2016-09-30,0.9017180187110235,0.2713852293471005,0.43584700674853627,0.4778103263638311,0.38429377211928367,0.5471992925078121,0.5148177837196728,0.6388975727276185,0.8525355048707955,0.9079259292606804,0.8607096428444785
2016-10-31,0.79256967435944,0.17758847554620308,0.5753241934340998,0.727791656674754,0.5898508910024453,0.41199617161090346,0.41522970737776904,0.5392049765655837,0.30728261416558056,0.9439993999975524,0.8601310725982215
2016-11-30,0.8501801398313179,0.1875936952417214,0.4801315530385855,0.6261282228585008,0.64795981151426,0.6350485552775952,0.10320290531907135,0.5224959438903637,0.7053077182725151,0.5759903182007944,0.5915181455489646
2016-12-31,0.8199581486430159,0.18719630875536494,0.18760091662390607,0.3935915036718239,0.7623643969864575,0.6524796104047549,0.20772024929715954,0.4708371925676066,0.9623477792419025,0.9012705342699788,0.5709351594649734
2017-01-31,0.7012841317466317,0.44100438536807535,0.4943464464122971,0.23408117828729869,0.8314601834927027,0.7279713405154243,0.2132434895988821,0.7474008797493393,0.891903629934314,0.5985847286169982,0.5903764043153129
2017-02-28,0.9724113810295621,0.2748188734513147,0.5600949508323468,0.7412802552511698,0.6197308099202787,0.7783898987870252,0.4870458561204482,0.8118812723977988,0.9176880849141713,0.5662338830944478,0.8307678458024484
2017-03-31,0.9406033216449832,0.413684368169597,0.4959175783857843,0.18309601737790768,0.5956862904293453,0.7985120172187559,0.23742242041167583,0.7843234099197941,0.5739249895717766,0.46270945732087826,0.7461142356871648
2017-04-30,0.9662933313166192,0.3098269252857372,0.4751620932108429,0.11123190675852435,0.6206260969923153,0.5192927676364567,0.21612762306865188,0.9302179319645499,0.42016517307146733,0.735087562165541,0.8575104492088242
2017-05-31,0.1885158707372899,0.3162018566766932,0.24414303396408762,0.11602337545286479,0.2501458692803043,0.2784367695814101,0.3148320045499722,0.7525234874098269,0.49196764094910445,0.6714380178591626,0.5228633605915581
2017-06-30,0.8154879276928053,0.6307660574977512,0.6778218420760593,0.165085836326278,0.8246052955631963,0.5425982590840633,0.2531625590578431,0.9303517081566279,0.7310906531775825,0.7278394645181033,0.8460116784803823
2017-07-31,0.5866591425831255,0.8075743149120758,0.6054150175674602,0.26849284118015754,0.8726754705645186,0.6047924676553346,0.19908800534458126,0.8924389143053437,0.7546852579672407,0.7919858208034376,0.8395275716567773
2017-08-31,0.7496382108655022,0.6516538872263398,0.8133978508306261,0.5822627597146479,0.7758403275247504,0.8717702440454107,0.34771220799598335,0.9587051375663508,0.929965854627052,0.6144042487852559,0.7223829859586404
2017-09-30,0.9246018670528967,0.6132520710656169,0.8139964576181964,0.6339356044803289,0.8943793681429272,0.9001530516540517,0.25170526873819404,0.9526633058830107,0.8967126878869518,0.8544167049040674,0.7985341757312812
2017-10-31,0.9562432081755956,0.6557745962604895,0.8254421888411673,0.3618500572050424,0.9180234700904247,0.8648589323167885,0.556416654671396,0.9556297035314618,0.9458043126296626,0.9195952052797148,0.6595212638939435
2017-11-30,0.6789858771133586,0.7842605682114835,0.5921656229884337,0.22049388390227964,0.8843952679348989,0.8581516351859831,0.5234809449714538,0.9614325299758693,0.7064928520291135,0.5338700592395165,0.9311135027959991
2017-12-31,0.7792666059939208,0.863962974095228,0.6102623897037031,0.23245361115155466,0.845846976286026,0.9325557847370012,0.5994601866429852,0.9528133456588066,0.7115194589395677,0.5671919979150883,0.9329354599844523
2018-01-31,0.7943907042171219,0.8410845161817214,0.5403849582772229,0.7073742911543527,0.8537301867071582,0.8590255636202929,0.588416784934189,0.753145267492343,0.6143891758066564,0.8674305323411314,0.9435386643286472
2018-02-28,0.9137955456460715,0.5744869033481985,0.9067301077603972,0.6526136622841795,0.7448349217398943,0.7560853810008662,0.45026369467464245,0.9079896768704662,0.9230760776881012,0.824915164630772,0.7158500173622251
2018-03-31,0.9072849985616173,0.7891767771250519,0.7042942900792881,0.228918454507775,0.8030059538205,0.799705389068261,0.5389867482775109,0.8933112745553962,0.7732794631457336,0.686812797741067,0.8143844533557779
2018-04-30,0.2098527849489942,0.5411711879143117,0.6562128847562781,0.43324335956683035,0.7575476223936161,0.7931139167118912,0.3352206096682165,0.869770500040541,0.48981200779816736,0.8164059212895621,0.6225084035793701
2018-05-31,0.922878107330397,0.6414769059670423,0.8987200429835881,0.10844739187668369,0.8334906531189078,0.7772381312075602,0.41955636756903114,0.8378299552205094,0.8875148550320519,0.7271966863167744,0.4455176736255226
2018-06-30,0.5727830071697412,0.5422036559306226,0.5424093409136196,0.3860357325473878,0.843874853889632,0.8017045595696534,0.534577158593747,0.7618140592092696,0.5246138319012223,0.8002529549041971,0.7114792798014891
2018-07-31,0.7982503875462273,0.6228655675459468,0.43512522896822314,0.4424986746026823,0.6025665534894588,0.6940780522234663,0.4646755149442856,0.3636798712662648,0.7275424373187387,0.23603628777459962,0.674039427882747
2018-08-31,0.8367912767293764,0.32048638310324784,0.4888516646905372,0.16626269870988386,0.6436673490714019,0.7548142751378029,0.43933042093470726,0.8702403257127218,0.3587403817807762,0.6809697824824418,0.6965543331353122
2018-09-30,0.48677282786039133,0.5255121918590425,0.46946348851361364,0.31785047058305566,0.5979209333738741,0.8164368335965568,0.20982878461186952,0.502678353471987,0.585108972156928,0.26539582377168786,0.8259416021373903
2018-10-31,0.8308594636892178,0.2968396267055566,0.6395776549683826,0.1898436999428937,0.8617609777801428,0.8791596045855267,0.4183856777254646,0.8978935425302695,0.8126449535446886,0.8641271821976222,0.7913176919591114
2018-11-30,0.3073548171360021,0.267651336077714,0.6420112806842375,0.2154601024545972,0.8209050315881793,0.8652269550589101,0.29076105236396993,0.8441385635423554,0.7799866807145769,0.8704844963430152,0.7122533473960634
2018-12-31,0.9032140302330335,0.45085940540376307,0.7039829476651611,0.4423373994339247,0.8431927660396523,0.8695492069586855,0.3814488074271235,0.8353346234008152,0.7845359583685063,0.5462676687387128,0.9462737918371972
2019-01-31,0.6744958068845628,0.7456240594652747,0.7193655116263721,0.3980095108883007,0.8650305909277524,0.8481947229015908,0.3181150655939078,0.7025517997557386,0.26758719378436385,0.8507602001738148,0.9058879956933105
2019-02-28,0.3432963807637013,0.45201901890633295,0.3767332562323816,0.6312507290943324,0.5631098614780216,0.44698258552576464,0.36837273442604707,0.6263932664515269,0.3880255629039358,0.37721602601212817,0.8703130425399077
2019-03-31,0.639437522843629,0.8296750476869214,0.81451325503669,0.8068519984901901,0.9142188172504204,0.9257037627198136,0.7066256066118823,0.8730704499764105,0.3481792480241264,0.8628190031648816,0.8199118457823684
2019-04-30,0.5453505803043919,0.5089183103076893,0.6885068510466963,0.6640236916185414,0.7468897484762964,0.8658015109014051,0.4051309971692366,0.6590186627102333,0.18301335565115576,0.11689272093814598,0.7056328999630954
2019-05-31,0.668065483026498,0.7638262685286435,0.7912734589715016,0.6778801625115485,0.7882117466211973,0.8349681822288156,0.589666293318443,0.8935970827596157,0.4072536325458748,0.4775403791480818,0.9063307481831233
2019-06-30,0.7417043957299007,0.8835941559171014,0.9086294114624731,0.7161709852545186,0.9281563621209152,0.8362445594339436,0.34292958743758445,0.8289178018676188,0.5360897657203643,0.5990981617958566,0.9390030284312878
2019-07-31,0.7641919208321141,0.7358975678724378,0.826390700111623,0.5585520483249424,0.9269238032334104,0.8944693126104418,0.5121722623396505,0.8824440916634767,0.5600995867691632,0.7407526212824451,0.9654630824173184
2019-08-31,0.8765945367205051,0.8665371601317112,0.9266586050028965,0.8627575019347127,0.866715735416766,0.8800136483149034,0.598325212791622,0.801117753149191,0.4970956030937369,0.5184931268547939,0.949878844935332
2019-09-30,0.7991311853851969,0.8423033849591214,0.8182873313278585,0.6918501037993178,0.853526983849414,0.8504454132116921,0.4844524721725192,0.9100858998503341,0.485080463451267,0.3102614685769084,0.9458715052865551
2019-10-31,0.6655990398687587,0.7575701169180514,0.6103747252430112,0.6581671760573242,0.7176161242277204,0.8682608870768155,0.27325734232513,0.9124649814722005,0.5603062538510497,0.6417756990807896,0.9573854226465206
2019-11-30,0.3360692245143295,0.429499854212062,0.7715937405783391,0.6081922259234024,0.6843455801173863,0.7264526103537642,0.28801736591796984,0.8411795295385023,0.5116992903903037,0.770124988054065,0.8224735714860919
2019-12-31,0.8987161429378211,0.6737325173498746,0.6958001217509433,0.6767879585153589,0.5088344682086422,0.7833885197585368,0.391270274365565,0.74733101973758,0.39169091818268864,0.6095494283321309,0.7188198845809767
2020-01-31,0.9301428055824408,0.3590892114637073,0.6704233092054142,0.7815700279750591,0.7471178471299001,0.8644015012255079,0.4636334002280166,0.8989959754592981,0.4923868766163353,0.6277424616807129,0.8511507347074029
2020-02-29,0.6928158615537202,0.727886117202746,0.8044962145395496,0.6858196070333507,0.8399425152051866,0.8939079481841969,0.7406609455470323,0.9111153855323292,0.20032088468732917,0.7476440568476287,0.45227772943411515
2020-03-31,0.815882755998212,0.6326340533633665,0.3794432318927266,0.7596569771346927,0.39385793559721893,0.51933799659752,0.6092412756995285,0.6004852650745953,0.35271318932184986,0.4839144873734788,0.9469549469264351
2020-04-30,0.7537429257112297,0.5518184710227457,0.33368456643869954,0.7464745728068376,0.32559971844904895,0.39736785481196607,0.5012551054545762,0.8206701122250194,0.5657203577230662,0.5386981824680903,0.9624149525510901
2020-05-31,0.8481167392449377,0.5744935717795853,0.46590914170866743,0.7101035094526035,0.5331747957770218,0.6626322727821323,0.40864901335845805,0.7594864226792928,0.6417454092858721,0.805393150770971,0.8819430198205065
2020-06-30,0.7868319420690377,0.6875018449731222,0.8819017931388202,0.7806569085736289,0.9099544198873997,0.934195708998068,0.3010832630544011,0.8903675572127635,0.5104060442834856,0.9071396858249221,0.7631755144152237
2020-07-31,0.8137541754129233,0.6609696921360778,0.9286616197201548,0.732248454749531,0.2950785209656419,0.680606702189855,0.37202011077616703,0.5327515432227022,0.7951924332321781,0.9507914704826926,0.4876641888455033
2020-08-31,0.744430635993947,0.7809814099162249,0.9318487569388058,0.8904269234141939,0.17148390272502897,0.5755149380207966,0.41820143712000835,0.7678974049075933,0.47551292040845944,0.9615810329613554,0.4514745694854505
2020-09-30,0.7782791932839245,0.34975396081387944,0.3220045926808243,0.7984459580677988,0.08473509420806322,0.3055525527472778,0.6078536443717811,0.38430246003185525,0.5698947572178246,0.407216262693229,0.7540517371299055
2020-10-31,0.6682390436527592,0.8772818806220126,0.40767529113149753,0.6216662600780134,0.7688110697920285,0.7774587453309432,0.6502826349646593,0.9071615880700231,0.7639891193043936,0.9029806425237648,0.9480816729363647
2020-11-30,0.5281988845766283,0.5275132294273794,0.5647151125754198,0.6047806163842436,0.7107120213424425,0.7520819977188569,0.6847109126990788,0.8048736719379771,0.2756018914560079,0.2847355778598733,0.8726667286008575
2020-12-31,0.7135697819037192,0.7430302808424668,0.8444417188005914,0.7544959850824948,0.89854238865407,0.9330626223656991,0.8797398670216635,0.9369510989202533,0.5238703562501159,0.6040874529514436,0.9652025522100938
2021-01-31,0.7679433518634847,0.6880540440467187,0.8425025225345324,0.7335726183030293,0.7624065967833017,0.8408377765116705,0.8042776658689333,0.881049359712529,0.4569256020321708,0.7287305763919563,0.9587934250044146
2021-02-28,0.8892065713683709,0.7829684447928688,0.8511987059809966,0.4037934491992858,0.76772018268489,0.9062475965986719,0.411463903282661,0.7569167895840155,0.8011074045375531,0.7340841527543213,0.9563456309904536
2021-03-31,0.8970222596751808,0.7340317712800929,0.7457685717731617,0.6387069188773374,0.6335922166574032,0.7261505499769917,0.4434302614659178,0.9469179053773782,0.7507716229524012,0.7610821304605463,0.7760815018267937
2021-04-30,0.7613033020989404,0.5885739657013946,0.46768920281044096,0.330355823855338,0.36496110532825604,0.10516448053137932,0.512844455993377,0.8029043372701629,0.8015398253129626,0.6646439371585448,0.693572140086637
