Date,AGG,EEM,EFA,GLD,IWM,MDY,PCRIX,SPY,TLT,VFISX,VNQ,VWEHX
2004-12-01,51.31819152832031,14.156319618225098,28.3076114654541,45.380001068115234,48.12627029418945,90.75346374511719,9.483325958251953,80.2806396484375,43.086727142333984,6.280338287353516,22.20065689086914,1.695322036743164
2004-12-02,51.41429901123047,14.1354398727417,28.262805938720703,44.95000076293945,48.05863571166992,90.48466491699219,9.161137580871582,80.34796142578125,42.91233444213867,6.274338245391846,22.01128387451172,1.695322036743164
2004-12-03,51.71253204345703,14.19953727722168,28.43128204345703,45.599998474121094,47.968441009521484,90.54611206054688,9.240164756774902,80.29411315917969,43.58015823364258,6.2923431396484375,22.307186126708984,1.6979660987854004
2004-12-06,51.76816940307617,14.179369926452637,28.2574405670166,45.16999816894531,47.74296569824219,90.37712860107422,9.288798332214355,80.26712799072266,43.72969055175781,6.2923431396484375,22.413707733154297,1.6979660987854004
2004-12-07,51.83893966674805,13.961860656738281,28.103303909301758,45.11000061035156,46.904911041259766,89.3017578125,9.112508773803711,79.5197982788086,43.78452682495117,6.2923431396484375,22.129642486572266,1.6979660987854004
2004-12-08,52.015892028808594,13.888396263122559,28.083593368530273,44.0099983215332,47.4272575378418,89.8855209350586,9.136820793151855,79.98432922363281,44.46734619140625,6.304354190826416,22.188825607299805,1.7006113529205322
2004-12-09,51.94511413574219,13.662239074707031,27.967100143432617,43.779998779296875,47.066490173339844,89.98540496826172,9.161137580871582,80.26712799072266,44.17330551147461,6.2983479499816895,22.350584030151367,1.7006113529205322
2004-12-10,51.879417419433594,13.648557662963867,27.692890167236328,43.439998626708984,47.4272575378418,90.28492736816406,9.033474922180176,80.34796142578125,44.28293228149414,6.2983479499816895,22.539962768554688,1.703256368637085
2004-12-13,51.95518112182617,13.855990409851074,28.110464096069336,43.90999984741211,47.94588851928711,90.99165344238281,9.194096565246582,81.04823303222656,44.377620697021484,6.2983479499816895,22.47684097290039,1.703256368637085
2004-12-14,52.005741119384766,13.98346996307373,28.119436264038086,43.54999923706055,48.20519256591797,91.7136459350586,9.237174034118652,81.33101654052734,44.55207443237305,6.2983479499816895,22.457115173339844,1.703256368637085
2004-12-15,52.12202835083008,14.177214622497559,28.289691925048828,43.9900016784668,48.60730743408203,92.34347534179688,9.483336448669434,81.3916244506836,44.955753326416016,6.2983479499816895,22.50050926208496,1.7059005498886108
2004-12-16,51.91981887817383,14.105902671813965,28.110464096069336,43.68000030517578,48.22773361206055,91.63682556152344,9.378718376159668,81.34446716308594,44.29290008544922,6.2923431396484375,22.295352935791016,1.703256368637085
2004-12-17,51.793434143066406,14.073500633239746,28.029821395874023,44.189998626708984,48.03232955932617,91.61837005615234,9.606414794921875,80.80192565917969,44.233055114746094,6.2863450050354,22.5478515625,1.703256368637085
2004-12-20,51.84401321411133,14.257159233093262,28.28610610961914,44.34000015258789,47.975948333740234,91.54905700683594,9.569490432739258,80.82221221923828,44.31283187866211,6.2863450050354,22.468942642211914,1.703256368637085
2004-12-21,51.84401321411133,14.394001007080078,28.485036849975586,44.220001220703125,48.48329162597656,92.41153717041016,9.618722915649414,81.44462585449219,44.447425842285156,6.2923431396484375,22.725391387939453,1.703256368637085
2004-12-22,51.95518112182617,14.390402793884277,28.528057098388672,44.02000045776367,48.577247619628906,92.5578842163086,9.47718620300293,81.64080810546875,44.29791259765625,6.2923431396484375,22.89483642578125,1.703256368637085
2004-12-23,51.98048400878906,14.488317489624023,28.715303421020508,44.27000045776367,48.702049255371094,92.76580047607422,9.495640754699707,81.70169830322266,44.1533317565918,6.2923431396484375,22.721355438232422,1.703256368637085
2004-12-27,51.78329849243164,14.477381706237793,28.94094467163086,44.47999954223633,48.38911056518555,92.2575454711914,9.286410331726074,81.5325698852539,43.80944061279297,6.280338287353516,22.551918029785156,1.7006113529205322
2004-12-28,51.7580680847168,14.552469253540039,29.133846282958984,44.369998931884766,49.030059814453125,93.29715728759766,9.298714637756348,81.9790267944336,43.77457046508789,6.280338287353516,22.636642456054688,1.7006113529205322
2004-12-29,51.7479362487793,14.632662773132324,28.99373435974121,43.65999984741211,49.02626419067383,93.42805480957031,9.362981796264648,82.100830078125,43.72969055175781,6.274338245391846,22.765729904174805,1.7006113529205322
2004-12-30,51.85413360595703,14.59548282623291,28.997364044189453,43.83000183105469,48.85282897949219,93.266357421875,9.424799919128418,81.94522857666016,44.02378845214844,6.2863450050354,22.874666213989258,1.703256368637085
2004-12-31,51.92202377319336,14.715774536132812,29.161134719848633,43.79999923706055,48.82268142700195,93.18167877197266,9.431146621704102,81.76932525634766,44.30144119262695,6.301392555236816,22.814151763916016,1.7136340141296387
2005-01-03,51.92202377319336,14.562677383422852,28.951873779296875,43.02000045776367,48.189300537109375,92.21134185791016,9.266023635864258,81.38373565673828,44.39650344848633,6.301392555236816,22.547876358032227,1.7136340141296387
2005-01-04,51.871334075927734,14.114311218261719,28.3968563079834,42.7400016784668,47.15629959106445,90.52482604980469,9.183463096618652,80.38927459716797,43.931251525878906,6.289353370666504,22.208995819091797,1.7136340141296387
2005-01-05,51.85104751586914,13.941532135009766,28.37865447998047,42.66999816894531,46.21377944946289,89.33116912841797,9.139006614685059,79.83454132080078,44.16634750366211,6.289353370666504,21.470727920532227,1.7109729051589966
2005-01-06,51.88655090332031,13.932053565979004,28.37865447998047,42.150001525878906,46.45884323120117,89.71623229980469,9.291430473327637,80.24042510986328,44.19634246826172,6.289353370666504,21.636127471923828,1.7109729051589966
2005-01-07,51.871334075927734,13.959027290344238,28.25127410888672,41.84000015258789,45.942325592041016,89.34658813476562,9.253321647644043,80.12541961669922,44.29642868041992,6.283331871032715,21.587709426879883,1.7109729051589966
2005-01-10,51.84596252441406,13.976521492004395,28.37865447998047,41.95000076293945,46.409820556640625,90.03193664550781,9.285080909729004,80.50425720214844,44.36647415161133,6.283331871032715,21.519126892089844,1.7083113193511963
2005-01-11,51.916988372802734,13.950281143188477,28.324054718017578,42.209999084472656,45.844295501708984,89.32349395751953,9.335886001586914,79.94953918457031,44.62660598754883,6.283331871032715,21.3012752532959,1.7056511640548706
2005-01-12,51.9930534362793,14.121601104736328,28.55152130126953,42.599998474121094,46.032806396484375,89.63151550292969,9.348586082458496,80.21334075927734,44.68663787841797,6.289353370666504,21.200414657592773,1.7056511640548706
2005-01-13,52.119834899902344,14.063275337219238,28.305862426757812,42.599998474121094,45.893314361572266,89.53910064697266,9.526412963867188,79.57068634033203,45.11690139770508,6.289353370666504,21.200414657592773,1.7029900550842285
2005-01-14,51.93218231201172,14.31479549407959,28.442344665527344,42.31999969482422,46.33063888549805,90.21680450439453,9.462902069091797,79.9901123046875,45.1119384765625,6.289353370666504,21.462642669677734,1.7029900550842285
2005-01-18,52.06907272338867,14.289284706115723,28.464183807373047,42.31999969482422,46.88107681274414,90.98684692382812,9.431146621704102,80.82221221923828,45.261962890625,6.283331871032715,21.672428131103516,1.7003289461135864
2005-01-19,52.1451416015625,14.092440605163574,28.16937828063965,42.2599983215332,46.21001434326172,90.10896301269531,9.475607872009277,79.9765853881836,45.39206314086914,6.283331871032715,21.692604064941406,1.7003289461135864
